year,word,freq
2010,ass,0
2010,bear,1
2010,bird,0
2010,bull,0
2010,camel,0
2010,canine,0
2010,cat,12
2010,cattle,0
2010,chicken,0
2010,cow,1
2010,dog,26
2010,donkey,0
2010,elephant,0
2010,feline,2
2010,goat,0
2010,horse,0
2010,kitten,0
2010,lion,0
2010,mare,0
2010,mule,0
2010,parrot,0
2010,puppy,4
2010,rooster,0
2010,sheep,1
2010,stray,6
2010,tiger,0
2011,ass,0
2011,bear,0
2011,bird,0
2011,bull,0
2011,camel,0
2011,canine,0
2011,cat,0
2011,cattle,0
2011,chicken,0
2011,cow,0
2011,dog,0
2011,donkey,0
2011,elephant,0
2011,feline,0
2011,goat,0
2011,horse,0
2011,kitten,0
2011,lion,0
2011,mare,0
2011,mule,0
2011,parrot,0
2011,puppy,0
2011,rooster,0
2011,sheep,0
2011,stray,0
2011,tiger,0
2012,ass,0
2012,bear,0
2012,bird,2
2012,bull,1
2012,camel,0
2012,canine,0
2012,cat,2
2012,cattle,0
2012,chicken,0
2012,cow,0
2012,dog,10
2012,donkey,2
2012,elephant,0
2012,feline,0
2012,goat,0
2012,horse,2
2012,kitten,2
2012,lion,0
2012,mare,0
2012,mule,1
2012,parrot,1
2012,puppy,5
2012,rooster,1
2012,sheep,0
2012,stray,6
2012,tiger,0
2013,ass,0
2013,bear,0
2013,bird,0
2013,bull,0
2013,camel,0
2013,canine,0
2013,cat,0
2013,cattle,0
2013,chicken,0
2013,cow,0
2013,dog,0
2013,donkey,0
2013,elephant,0
2013,feline,0
2013,goat,0
2013,horse,0
2013,kitten,0
2013,lion,2
2013,mare,0
2013,mule,0
2013,parrot,0
2013,puppy,0
2013,rooster,0
2013,sheep,0
2013,stray,0
2013,tiger,20
2014,ass,0
2014,bear,0
2014,bird,0
2014,bull,2
2014,camel,0
2014,canine,0
2014,cat,1
2014,cattle,0
2014,chicken,0
2014,cow,0
2014,dog,14
2014,donkey,4
2014,elephant,0
2014,feline,0
2014,goat,0
2014,horse,0
2014,kitten,0
2014,lion,2
2014,mare,0
2014,mule,0
